method,language,budget,f1_mean,f1_std,acc_mean,acc_std,n,f1_ci95,acc_ci95,ci_method
dora,hi,50,0.221293,0.0445206522975573,0.3336013333333333,0.0058519520105118,3,0.110595431304822,0.0145370546741334,two-sided t interval; df=2; t*=4.302652729
dora,hi,100,0.1993313333333333,0.056576284928699,0.3357426666666667,0.0041736650959718,3,0.1405432829576323,0.0103679588593136,two-sided t interval; df=2; t*=4.302652729
dora,hi,500,0.330174,0.0471913415363454,0.3736276666666667,0.0129840302038054,3,0.1172297911581056,0.0322541190741603,two-sided t interval; df=2; t*=4.302652729
dora,hi,1000,0.2025353333333333,0.0380208719302087,0.3362783333333333,0.00379578217675,3,0.0944490817790093,0.009429245649212,two-sided t interval; df=2; t*=4.302652729
dora,hi,2000,0.442721,0.0622781376166628,0.4776439999999999,0.0311530892047642,3,0.1547074702441812,0.0773885637175969,two-sided t interval; df=2; t*=4.302652729
dora,hi,20000,0.665788,0.0057301979895986,0.66506,0.00566534314936,3,0.0142346009192784,0.0140734925648802,two-sided t interval; df=2; t*=4.302652729
ia3,hi,50,0.192181,0.0368062663550651,0.33253,0.0021254832391717,3,0.0914318342654185,0.0052799930691999,two-sided t interval; df=2; t*=4.302652729
ia3,hi,100,0.175501,0.0153009368340634,0.3337346666666667,0.0006957070743734,3,0.0380096342079859,0.0017282321794816,two-sided t interval; df=2; t*=4.302652729
ia3,hi,500,0.3798553333333334,0.0094949389325752,0.414056,0.0028109999999999,3,0.0235867358690681,0.0069829111065137,two-sided t interval; df=2; t*=4.302652729
ia3,hi,1000,0.3951309999999999,0.0634415837680617,0.4433733333333333,0.0247596638574382,3,0.1575976307039585,0.0615064147078103,two-sided t interval; df=2; t*=4.302652729
ia3,hi,2000,0.4914719999999999,0.0702758693507238,0.5165996666666667,0.0473441937024312,3,0.1745749372497637,0.1176094969881361,two-sided t interval; df=2; t*=4.302652729
ia3,hi,20000,0.6682056666666666,0.0120496941593276,0.6662653333333334,0.0122933484996291,3,0.0299330996710294,0.0305383706062986,two-sided t interval; df=2; t*=4.302652729
lora,hi,50,0.2190573333333333,0.0415078229895682,0.3331996666666667,0.0051014669785595,3,0.1031111484030833,0.0126727465044813,two-sided t interval; df=2; t*=4.302652729
lora,hi,100,0.1991516666666667,0.0562650931336057,0.3354749999999999,0.0037100528298125,3,0.1397702396839886,0.009216282145518,two-sided t interval; df=2; t*=4.302652729
lora,hi,500,0.3359226666666666,0.0527164547397995,0.3748326666666666,0.0126061299506761,3,0.1309549332261049,0.0313153628042451,two-sided t interval; df=2; t*=4.302652729
lora,hi,1000,0.203533,0.0361705027750513,0.3364123333333333,0.0042938422576211,3,0.089852509980824,0.0106664954786059,two-sided t interval; df=2; t*=4.302652729
lora,hi,2000,0.4850443333333333,0.0269491524974967,0.4915663333333333,0.019809175660116,3,0.0669454060070812,0.0492087202874094,two-sided t interval; df=2; t*=4.302652729
lora,hi,20000,0.6640526666666666,0.0123002870020717,0.6630523333333334,0.0126552815983419,3,0.0305556068018764,0.0314374622657853,two-sided t interval; df=2; t*=4.302652729
dora,te,50,0.2053226666666666,0.0268818002063353,0.3349396666666666,0.0089443440415344,3,0.0667780936406637,0.0222189823365749,two-sided t interval; df=2; t*=4.302652729
dora,te,100,0.20442,0.0653901141381478,0.3389556666666666,0.0097387443406906,3,0.162438048477937,0.0241923820775906,two-sided t interval; df=2; t*=4.302652729
dora,te,500,0.2776766666666666,0.0553579544449877,0.3578313333333333,0.0118865245691637,3,0.1375167822581973,0.0295277639387631,two-sided t interval; df=2; t*=4.302652729
dora,te,1000,0.2051643333333333,0.0656118404354986,0.3390896666666667,0.0106738115185407,3,0.1629888471347769,0.0265152177167035,two-sided t interval; df=2; t*=4.302652729
dora,te,2000,0.3154633333333334,0.0633994193138496,0.3712183333333334,0.0167396366846276,3,0.1574928883931731,0.0415835627620396,two-sided t interval; df=2; t*=4.302652729
dora,te,20000,0.6226663333333333,0.0083933133108048,0.6232933333333334,0.0073285780567129,3,0.0208501461182745,0.0182051971210154,two-sided t interval; df=2; t*=4.302652729
ia3,te,50,0.166667,0.0,0.333333,0.0,3,0.0,0.0,two-sided t interval; df=2; t*=4.302652729
ia3,te,100,0.2062766666666666,0.068605955137534,0.3449796666666667,0.0201726184054855,3,0.1704266403781137,0.0501115621170866,two-sided t interval; df=2; t*=4.302652729
ia3,te,500,0.3511633333333333,0.0428085921554695,0.3966533333333333,0.0161463000199219,3,0.1063424381418179,0.0401096327777367,two-sided t interval; df=2; t*=4.302652729
ia3,te,1000,0.2677963333333333,0.0900184878862855,0.373494,0.0393636432892078,3,0.2236183204741109,0.0977847107495763,two-sided t interval; df=2; t*=4.302652729
ia3,te,2000,0.394947,0.0617365858466436,0.4467206666666667,0.0202814739191542,3,0.1533621810696457,0.050381974203676,two-sided t interval; df=2; t*=4.302652729
ia3,te,20000,0.6164633333333334,0.0107116904517136,0.6165996666666667,0.0086541325003337,3,0.0266093142030627,0.0214980569028186,two-sided t interval; df=2; t*=4.302652729
lora,te,50,0.204097,0.0254542007535102,0.3340026666666666,0.0112614983165355,3,0.0632317400032443,0.0279751126540459,two-sided t interval; df=2; t*=4.302652729
lora,te,100,0.20381,0.0643335631455308,0.3381523333333333,0.0083473301919436,3,0.159813430313247,0.0207359177186273,two-sided t interval; df=2; t*=4.302652729
lora,te,500,0.2872473333333333,0.064137061807767,0.3585006666666666,0.0112474246978289,3,0.1593252939297837,0.0279401518470822,two-sided t interval; df=2; t*=4.302652729
lora,te,1000,0.203917,0.0627373313028216,0.3377509999999999,0.0083572688720658,3,0.155848170596767,0.0207606067687195,two-sided t interval; df=2; t*=4.302652729
lora,te,2000,0.2404303333333333,0.0870381354886082,0.3567603333333333,0.0315573089051226,3,0.2162147146900249,0.0783927011189147,two-sided t interval; df=2; t*=4.302652729
lora,te,20000,0.6262126666666666,0.0119216962439634,0.6263723333333333,0.0131021968132574,3,0.0296151352225034,0.0325476612049184,two-sided t interval; df=2; t*=4.302652729
