method,language,budget,seed,lr,epochs,warmup_steps,total_steps,accuracy,macro_f1,trainable_params,peak_gpu_memory_gb,training_time_sec
ia3_lora_sequential,hi,500,42,0.0007,10,32,320,0.493574,0.490271,887811,1.1341,74.88
ia3_lora_sequential,hi,500,123,0.0007,10,32,320,0.50241,0.497899,887811,1.1347,77.25
ia3_lora_sequential,hi,500,456,0.0007,10,32,320,0.333333,0.166667,887811,1.1347,77.2
ia3_lora_sequential,hi,500,42,0.0003,10,32,320,0.493574,0.483664,887811,1.1347,77.38
ia3_lora_sequential,hi,500,123,0.0003,10,32,320,0.493574,0.484452,887811,1.1347,77.47
ia3_lora_sequential,hi,500,456,0.0003,10,32,320,0.477912,0.476515,887811,1.1347,77.51
ia3_lora_sequential,hi,2000,42,0.0007,5,62,625,0.55261,0.552585,887811,1.1347,154.86
ia3_lora_sequential,hi,2000,123,0.0007,5,62,625,0.333333,0.166667,887811,1.1347,154.37
ia3_lora_sequential,hi,2000,456,0.0007,5,62,625,0.578313,0.5806,887811,1.1347,154.83
ia3_lora_sequential,hi,2000,42,0.0003,5,62,625,0.583534,0.584625,887811,1.1347,154.77
ia3_lora_sequential,hi,2000,123,0.0003,5,62,625,0.563454,0.555508,887811,1.1347,154.84
ia3_lora_sequential,hi,2000,456,0.0003,5,62,625,0.577912,0.576403,887811,1.1347,154.67
