method,language,budget,seed,lr,epochs,warmup_steps,total_steps,accuracy,macro_f1,trainable_params,peak_gpu_memory_gb,training_time_sec
ia3_lora_sequential,hi,100,42,0.0001,10,7,70,0.333333,0.166667,887811,1.1341,14.86
ia3_lora_sequential,hi,100,123,0.0001,10,7,70,0.333333,0.224145,887811,1.1347,15.16
ia3_lora_sequential,hi,100,456,0.0001,10,7,70,0.332932,0.167413,887811,1.1347,16.41
ia3_lora_sequential,hi,100,42,0.0005,10,7,70,0.351004,0.278914,887811,1.1347,16.51
ia3_lora_sequential,hi,100,123,0.0005,10,7,70,0.353012,0.273831,887811,1.1347,16.28
ia3_lora_sequential,hi,100,456,0.0005,10,7,70,0.338554,0.242823,887811,1.1347,16.44
ia3_lora_sequential,hi,100,42,0.001,10,7,70,0.355823,0.320978,887811,1.1347,16.35
ia3_lora_sequential,hi,100,123,0.001,10,7,70,0.345783,0.277309,887811,1.1347,16.34
ia3_lora_sequential,hi,100,456,0.001,10,7,70,0.35261,0.329214,887811,1.1347,16.48
ia3_lora_sequential,hi,500,42,0.0001,10,32,320,0.402811,0.402225,887811,1.1347,82.11
ia3_lora_sequential,hi,500,123,0.0001,10,32,320,0.414458,0.39312,887811,1.1347,82.26
ia3_lora_sequential,hi,500,456,0.0001,10,32,320,0.396787,0.394352,887811,1.1347,82.29
ia3_lora_sequential,hi,500,42,0.0005,10,32,320,0.493574,0.491938,887811,1.1347,82.2
ia3_lora_sequential,hi,500,123,0.0005,10,32,320,0.42249,0.388709,887811,1.1347,82.15
ia3_lora_sequential,hi,500,456,0.0005,10,32,320,0.447791,0.441807,887811,1.1347,82.22
ia3_lora_sequential,hi,500,42,0.001,10,32,320,0.333333,0.166667,887811,1.1347,81.79
ia3_lora_sequential,hi,500,123,0.001,10,32,320,0.404418,0.341846,887811,1.1347,82.15
ia3_lora_sequential,hi,500,456,0.001,10,32,320,0.333333,0.166667,887811,1.1347,82.03
ia3_lora_sequential,hi,2000,42,0.0001,5,62,625,0.543373,0.541827,887811,1.1347,164.02
ia3_lora_sequential,hi,2000,123,0.0001,5,62,625,0.545382,0.543973,887811,1.1347,164.27
ia3_lora_sequential,hi,2000,456,0.0001,5,62,625,0.527711,0.521669,887811,1.1347,164.34
ia3_lora_sequential,hi,2000,42,0.0005,5,62,625,0.586345,0.587528,887811,1.1347,164.19
ia3_lora_sequential,hi,2000,123,0.0005,5,62,625,0.333333,0.166667,887811,1.1347,164.07
ia3_lora_sequential,hi,2000,456,0.0005,5,62,625,0.580321,0.582607,887811,1.1347,164.24
ia3_lora_sequential,hi,2000,42,0.001,5,62,625,0.333333,0.166667,887811,1.1347,163.48
ia3_lora_sequential,hi,2000,123,0.001,5,62,625,0.333333,0.166667,887811,1.1347,163.25
ia3_lora_sequential,hi,2000,456,0.001,5,62,625,0.333333,0.166667,887811,1.1347,163.84
