method,language,budget,seed,lr,epochs,warmup_steps,total_steps,accuracy,macro_f1,trainable_params,peak_gpu_memory_gb,training_time_sec
ia3_lora_sequential,hi,50,42,0.0005,10,4,40,0.332932,0.167265,887811,1.1341,8.14
ia3_lora_sequential,hi,50,123,0.0005,10,4,40,0.348193,0.253139,887811,1.1347,7.55
ia3_lora_sequential,hi,50,456,0.0005,10,4,40,0.345783,0.267349,887811,1.1347,8.11
ia3_lora_sequential,te,50,42,0.0005,10,4,40,0.333333,0.166667,887811,1.1347,8.05
ia3_lora_sequential,te,50,123,0.0005,10,4,40,0.349799,0.315998,887811,1.1347,7.86
ia3_lora_sequential,te,50,456,0.0005,10,4,40,0.338153,0.210759,887811,1.1347,8.06
ia3_lora_sequential,te,100,42,0.001,10,7,70,0.353815,0.347345,887811,1.1347,15.74
ia3_lora_sequential,te,100,123,0.001,10,7,70,0.36988,0.345294,887811,1.1347,15.83
ia3_lora_sequential,te,100,456,0.001,10,7,70,0.356225,0.307224,887811,1.1347,15.74
ia3_lora_sequential,hi,20000,42,0.0003,3,375,3750,0.687952,0.689373,887811,1.1347,947.87
ia3_lora_sequential,hi,20000,123,0.0003,3,375,3750,0.693173,0.694015,887811,1.1347,948.13
ia3_lora_sequential,hi,20000,456,0.0003,3,375,3750,0.693574,0.694294,887811,1.1347,948.19
ia3_lora_sequential,te,20000,42,0.0003,3,375,3750,0.656225,0.656635,887811,1.1347,947.96
ia3_lora_sequential,te,20000,123,0.0003,3,375,3750,0.671084,0.671878,887811,1.1347,949.46
ia3_lora_sequential,te,20000,456,0.0003,3,375,3750,0.665863,0.66681,887811,1.1347,947.96
