language,budget,lora,dora,ia3,hybrid_ia3_lora,best_primary,best_primary_method,hybrid_delta,hybrid_wins
hi,50,0.219277,0.221088,0.192243,0.166667,0.221088,dora,-0.0544,False
hi,100,0.1986683333333333,0.1986013333333333,0.1766053333333333,0.275796,0.1986683333333333,lora,0.0771,True
hi,500,0.3390206666666667,0.329686,0.3756476666666666,0.436077,0.3756476666666666,ia3,0.0604,True
hi,1000,0.1993673333333333,0.1982433333333333,0.4011733333333333,0.3491523333333333,0.4011733333333333,ia3,-0.052,False
hi,2000,0.4884423333333333,0.4505816666666666,0.4900603333333333,0.5424736666666666,0.4900603333333333,ia3,0.0524,True
hi,20000,0.6669946666666666,0.6661593333333333,0.6699713333333334,0.6913026666666667,0.6699713333333334,ia3,0.0213,True
te,50,0.2026233333333333,0.2022876666666666,0.166667,0.166667,0.2026233333333333,lora,-0.036,False
te,100,0.2032503333333333,0.203099,0.2031723333333333,0.2754173333333333,0.2032503333333333,lora,0.0722,True
te,500,0.2897383333333334,0.276529,0.3538833333333333,0.4060426666666667,0.3538833333333333,ia3,0.0522,True
te,1000,0.2049473333333333,0.205383,0.263489,0.2577156666666667,0.263489,ia3,-0.0058,False
te,2000,0.2426493333333333,0.3178753333333333,0.401012,0.475242,0.401012,ia3,0.0742,True
te,20000,0.6279756666666666,0.6276183333333333,0.626177,0.65394,0.6279756666666666,lora,0.026,True
