method,language,budget,seed,lr,epochs,accuracy,macro_f1,trainable_params,peak_gpu_memory_gb,training_time_sec,adapter_path
lora,hi,50,42,0.0001,10,0.336145,0.25433,887811,1.1563,2.25,/kaggle/working/adapters/lora/hi/budget50_seed42
lora,hi,50,123,0.0001,10,0.327309,0.229524,887811,1.1563,2.28,/kaggle/working/adapters/lora/hi/budget50_seed123
lora,hi,50,456,0.0001,10,0.336145,0.173318,887811,1.1556,2.33,/kaggle/working/adapters/lora/hi/budget50_seed456
lora,hi,100,42,0.0001,10,0.333333,0.166667,887811,1.1563,4.8,/kaggle/working/adapters/lora/hi/budget100_seed42
lora,hi,100,123,0.0001,10,0.333333,0.166667,887811,1.1578,5.01,/kaggle/working/adapters/lora/hi/budget100_seed123
lora,hi,100,456,0.0001,10,0.339759,0.264121,887811,1.1571,5.16,/kaggle/working/adapters/lora/hi/budget100_seed456
lora,hi,500,42,0.0001,10,0.360643,0.277073,887811,1.1571,23.76,/kaggle/working/adapters/lora/hi/budget500_seed42
lora,hi,500,123,0.0001,10,0.384739,0.351873,887811,1.1563,23.51,/kaggle/working/adapters/lora/hi/budget500_seed123
lora,hi,500,456,0.0001,10,0.379116,0.378822,887811,1.1563,24.05,/kaggle/working/adapters/lora/hi/budget500_seed456
lora,hi,1000,42,0.0001,5,0.341365,0.203222,887811,1.1563,23.55,/kaggle/working/adapters/lora/hi/budget1000_seed42
lora,hi,1000,123,0.0001,5,0.333735,0.167519,887811,1.1571,23.87,/kaggle/working/adapters/lora/hi/budget1000_seed123
lora,hi,1000,456,0.0001,5,0.334137,0.239858,887811,1.1578,23.81,/kaggle/working/adapters/lora/hi/budget1000_seed456
lora,hi,2000,42,0.0001,5,0.476707,0.473829,887811,1.1563,47.7,/kaggle/working/adapters/lora/hi/budget2000_seed42
lora,hi,2000,123,0.0001,5,0.514056,0.51579,887811,1.1563,47.77,/kaggle/working/adapters/lora/hi/budget2000_seed123
lora,hi,2000,456,0.0001,5,0.483936,0.465514,887811,1.1563,47.53,/kaggle/working/adapters/lora/hi/budget2000_seed456
lora,hi,20000,42,0.0001,3,0.650201,0.651604,887811,1.1563,284.33,/kaggle/working/adapters/lora/hi/budget20000_seed42
lora,hi,20000,123,0.0001,3,0.663454,0.664355,887811,1.1571,284.54,/kaggle/working/adapters/lora/hi/budget20000_seed123
lora,hi,20000,456,0.0001,3,0.675502,0.676199,887811,1.1563,284.96,/kaggle/working/adapters/lora/hi/budget20000_seed456
lora,te,50,42,0.0001,10,0.343775,0.214837,887811,1.1571,2.39,/kaggle/working/adapters/lora/te/budget50_seed42
lora,te,50,123,0.0001,10,0.321687,0.222421,887811,1.1556,2.41,/kaggle/working/adapters/lora/te/budget50_seed123
lora,te,50,456,0.0001,10,0.336546,0.175033,887811,1.1563,2.41,/kaggle/working/adapters/lora/te/budget50_seed456
lora,te,100,42,0.0001,10,0.333333,0.166667,887811,1.1578,5.01,/kaggle/working/adapters/lora/te/budget100_seed42
lora,te,100,123,0.0001,10,0.333333,0.166667,887811,1.1571,5.01,/kaggle/working/adapters/lora/te/budget100_seed123
lora,te,100,456,0.0001,10,0.347791,0.278096,887811,1.1578,4.95,/kaggle/working/adapters/lora/te/budget100_seed456
lora,te,500,42,0.0001,10,0.351807,0.252882,887811,1.1563,23.89,/kaggle/working/adapters/lora/te/budget500_seed42
lora,te,500,123,0.0001,10,0.371486,0.361244,887811,1.1571,23.74,/kaggle/working/adapters/lora/te/budget500_seed123
lora,te,500,456,0.0001,10,0.352209,0.247616,887811,1.1563,23.77,/kaggle/working/adapters/lora/te/budget500_seed456
lora,te,1000,42,0.0001,5,0.33253,0.168734,887811,1.1571,23.78,/kaggle/working/adapters/lora/te/budget1000_seed42
lora,te,1000,123,0.0001,5,0.333333,0.166667,887811,1.1571,23.76,/kaggle/working/adapters/lora/te/budget1000_seed123
lora,te,1000,456,0.0001,5,0.34739,0.27635,887811,1.1578,23.84,/kaggle/working/adapters/lora/te/budget1000_seed456
lora,te,2000,42,0.0001,5,0.339759,0.200941,887811,1.1563,47.56,/kaggle/working/adapters/lora/te/budget2000_seed42
lora,te,2000,123,0.0001,5,0.337349,0.180137,887811,1.1563,47.81,/kaggle/working/adapters/lora/te/budget2000_seed123
lora,te,2000,456,0.0001,5,0.393173,0.340213,887811,1.1563,47.58,/kaggle/working/adapters/lora/te/budget2000_seed456
lora,te,20000,42,0.0001,3,0.611245,0.61248,887811,1.1563,284.35,/kaggle/working/adapters/lora/te/budget20000_seed42
lora,te,20000,123,0.0001,3,0.633735,0.633908,887811,1.1571,285.07,/kaggle/working/adapters/lora/te/budget20000_seed123
lora,te,20000,456,0.0001,3,0.634137,0.63225,887811,1.1563,285.12,/kaggle/working/adapters/lora/te/budget20000_seed456
dora,hi,50,42,0.0001,10,0.337751,0.261277,906243,1.1721,3.35,/kaggle/working/adapters/dora/hi/budget50_seed42
dora,hi,50,123,0.0001,10,0.326908,0.229284,906243,1.1721,3.33,/kaggle/working/adapters/dora/hi/budget50_seed123
dora,hi,50,456,0.0001,10,0.336145,0.173318,906243,1.1721,3.38,/kaggle/working/adapters/dora/hi/budget50_seed456
dora,hi,100,42,0.0001,10,0.333333,0.166667,906243,1.172,7.0,/kaggle/working/adapters/dora/hi/budget100_seed42
dora,hi,100,123,0.0001,10,0.333333,0.166667,906243,1.172,6.92,/kaggle/working/adapters/dora/hi/budget100_seed123
dora,hi,100,456,0.0001,10,0.340562,0.26466,906243,1.172,6.87,/kaggle/working/adapters/dora/hi/budget100_seed456
dora,hi,500,42,0.0001,10,0.358635,0.286088,906243,1.1723,33.34,/kaggle/working/adapters/dora/hi/budget500_seed42
dora,hi,500,123,0.0001,10,0.381124,0.32448,906243,1.1723,32.52,/kaggle/working/adapters/dora/hi/budget500_seed123
dora,hi,500,456,0.0001,10,0.381124,0.379954,906243,1.1723,33.07,/kaggle/working/adapters/dora/hi/budget500_seed456
dora,hi,1000,42,0.0001,5,0.340562,0.198545,906243,1.1734,32.82,/kaggle/working/adapters/dora/hi/budget1000_seed42
dora,hi,1000,123,0.0001,5,0.333333,0.166667,906243,1.1734,32.91,/kaggle/working/adapters/dora/hi/budget1000_seed123
dora,hi,1000,456,0.0001,5,0.33494,0.242394,906243,1.1734,33.02,/kaggle/working/adapters/dora/hi/budget1000_seed456
dora,hi,2000,42,0.0001,5,0.455422,0.408656,906243,1.1727,65.67,/kaggle/working/adapters/dora/hi/budget2000_seed42
dora,hi,2000,123,0.0001,5,0.513253,0.514601,906243,1.1727,65.74,/kaggle/working/adapters/dora/hi/budget2000_seed123
dora,hi,2000,456,0.0001,5,0.464257,0.404906,906243,1.1727,65.93,/kaggle/working/adapters/dora/hi/budget2000_seed456
dora,hi,20000,42,0.0001,3,0.670281,0.671873,906243,1.1727,393.57,/kaggle/working/adapters/dora/hi/budget20000_seed42
dora,hi,20000,123,0.0001,3,0.659036,0.660495,906243,1.1705,393.49,/kaggle/working/adapters/dora/hi/budget20000_seed123
dora,hi,20000,456,0.0001,3,0.665863,0.664996,906243,1.1698,394.23,/kaggle/working/adapters/dora/hi/budget20000_seed456
