method,lr,language,seed,accuracy,macro_f1
lora,5e-06,hi,42,0.3461847389558233,0.29466142860779726
lora,5e-06,hi,123,0.3437751004016064,0.24612443824453348
lora,5e-06,te,42,0.3522088353413655,0.3174710237706473
lora,5e-06,te,123,0.3413654618473896,0.2343819020121647
lora,1e-05,hi,42,0.3401606425702811,0.20852804380634912
lora,1e-05,hi,123,0.3566265060240964,0.28539703346864836
lora,1e-05,te,42,0.3502008032128514,0.24041500800054358
lora,1e-05,te,123,0.3421686746987952,0.2738055841659261
lora,5e-05,hi,42,0.5357429718875502,0.538272700810516
lora,5e-05,hi,123,0.5397590361445783,0.532785709740177
lora,5e-05,te,42,0.41485943775100403,0.37672291355057913
lora,5e-05,te,123,0.4634538152610442,0.44407785861501203
lora,0.0001,hi,42,0.5341365461847389,0.531220287540437
lora,0.0001,hi,123,0.5610441767068273,0.5519108344986747
lora,0.0001,te,42,0.5124497991967871,0.5082187104269547
lora,0.0001,te,123,0.5240963855421686,0.5128521983649224
lora,0.0005,hi,42,0.6036144578313253,0.6052014492920916
lora,0.0005,hi,123,0.6036144578313253,0.6036992632116512
lora,0.0005,te,42,0.3333333333333333,0.16666666666666666
lora,0.0005,te,123,0.3333333333333333,0.16666666666666666
lora,0.001,hi,42,0.3333333333333333,0.16666666666666666
lora,0.001,hi,123,0.3333333333333333,0.16666666666666666
lora,0.001,te,42,0.3333333333333333,0.16666666666666666
lora,0.001,te,123,0.3333333333333333,0.16666666666666666
lora,0.005,hi,42,0.3333333333333333,0.16666666666666666
lora,0.005,hi,123,0.3333333333333333,0.16666666666666666
lora,0.005,te,42,0.3333333333333333,0.16666666666666666
lora,0.005,te,123,0.3333333333333333,0.16666666666666666
dora,5e-06,hi,42,0.3469879518072289,0.29601334398189255
dora,5e-06,hi,123,0.3437751004016064,0.24624344584847133
dora,5e-06,te,42,0.3514056224899598,0.31726783317569235
dora,5e-06,te,123,0.3409638554216867,0.2348285927529019
dora,1e-05,hi,42,0.3417670682730924,0.21267906343911083
dora,1e-05,hi,123,0.3566265060240964,0.2852644006305843
dora,1e-05,te,42,0.348995983935743,0.23894876565585535
dora,1e-05,te,123,0.3417670682730924,0.2734782431212235
dora,5e-05,hi,42,0.5305220883534136,0.5338517421279483
dora,5e-05,hi,123,0.5265060240963856,0.5168300177278162
dora,5e-05,te,42,0.3855421686746988,0.32098632563388957
dora,5e-05,te,123,0.4714859437751004,0.45840495283043453
dora,0.0001,hi,42,0.5409638554216868,0.5389860531355467
dora,0.0001,hi,123,0.5441767068273092,0.53388691801094
dora,0.0001,te,42,0.5116465863453815,0.5081737134056884
dora,0.0001,te,123,0.5156626506024097,0.5126583938058212
dora,0.0005,hi,42,0.5847389558232932,0.5846069646901474
dora,0.0005,hi,123,0.5911646586345382,0.5869797646383467
dora,0.0005,te,42,0.5726907630522088,0.5738297974940189
dora,0.0005,te,123,0.3333333333333333,0.16666666666666666
dora,0.001,hi,42,0.3333333333333333,0.16666666666666666
dora,0.001,hi,123,0.3333333333333333,0.16666666666666666
dora,0.001,te,42,0.3333333333333333,0.16666666666666666
dora,0.001,te,123,0.3333333333333333,0.16666666666666666
dora,0.005,hi,42,0.3333333333333333,0.16666666666666666
dora,0.005,hi,123,0.3333333333333333,0.16666666666666666
dora,0.005,te,42,0.3333333333333333,0.16666666666666666
dora,0.005,te,123,0.3333333333333333,0.16666666666666666
ia3,5e-06,hi,42,0.3477911646586345,0.2704937629350769
ia3,5e-06,hi,123,0.3506024096385542,0.30497765748256045
ia3,5e-06,te,42,0.3473895582329317,0.2906170166569176
ia3,5e-06,te,123,0.3493975903614458,0.29967620852723253
ia3,1e-05,hi,42,0.3461847389558233,0.24171228190215532
ia3,1e-05,hi,123,0.3465863453815261,0.25724760456819545
ia3,1e-05,te,42,0.3506024096385542,0.22958418873983746
ia3,1e-05,te,123,0.3449799196787149,0.2770084673767337
ia3,5e-05,hi,42,0.37028112449799194,0.29719482659373825
ia3,5e-05,hi,123,0.3381526104417671,0.18059179196224606
ia3,5e-05,te,42,0.3654618473895582,0.29228368678851036
ia3,5e-05,te,123,0.3349397590361446,0.17537605060683437
ia3,0.0001,hi,42,0.3602409638554217,0.2810075948052153
ia3,0.0001,hi,123,0.3365461847389558,0.1751501833158768
ia3,0.0001,te,42,0.3433734939759036,0.2297779752448352
ia3,0.0001,te,123,0.3337349397590361,0.16766707261452599
ia3,0.0005,hi,42,0.5124497991967871,0.5115759248917318
ia3,0.0005,hi,123,0.4967871485943775,0.47456000823637057
ia3,0.0005,te,42,0.4497991967871486,0.4450250749304389
ia3,0.0005,te,123,0.4389558232931727,0.36273250742865715
ia3,0.001,hi,42,0.5325301204819277,0.5231531723311696
ia3,0.001,hi,123,0.5365461847389559,0.5306289218167034
ia3,0.001,te,42,0.5200803212851406,0.5145956139442024
ia3,0.001,te,123,0.5016064257028112,0.45676603185600645
ia3,0.005,hi,42,0.5803212851405622,0.5797245045717753
ia3,0.005,hi,123,0.5550200803212851,0.550749948932307
ia3,0.005,te,42,0.5538152610441767,0.5543302743634758
ia3,0.005,te,123,0.4859437751004016,0.4641328976034858
