method,language,budget,seed,lr,epochs,accuracy,macro_f1,trainable_params,peak_gpu_memory_gb,training_time_sec,adapter_path
lora,hi,100,42,0.0001,10,0.333333,0.166667,887811,1.1563,4.8,/kaggle/working/adapters/lora/hi/budget100_seed42
lora,hi,100,123,0.0001,10,0.333333,0.166667,887811,1.1578,5.01,/kaggle/working/adapters/lora/hi/budget100_seed123
lora,hi,1000,123,0.0001,5,0.333735,0.167519,887811,1.1571,23.87,/kaggle/working/adapters/lora/hi/budget1000_seed123
lora,hi,1000,456,0.0001,5,0.334137,0.239858,887811,1.1578,23.81,/kaggle/working/adapters/lora/hi/budget1000_seed456
lora,te,100,42,0.0001,10,0.333333,0.166667,887811,1.1578,5.01,/kaggle/working/adapters/lora/te/budget100_seed42
lora,te,100,123,0.0001,10,0.333333,0.166667,887811,1.1571,5.01,/kaggle/working/adapters/lora/te/budget100_seed123
lora,te,1000,42,0.0001,5,0.33253,0.168734,887811,1.1571,23.78,/kaggle/working/adapters/lora/te/budget1000_seed42
lora,te,1000,123,0.0001,5,0.333333,0.166667,887811,1.1571,23.76,/kaggle/working/adapters/lora/te/budget1000_seed123
dora,hi,100,42,0.0001,10,0.333333,0.166667,906243,1.172,7.0,/kaggle/working/adapters/dora/hi/budget100_seed42
dora,hi,100,123,0.0001,10,0.333333,0.166667,906243,1.172,6.92,/kaggle/working/adapters/dora/hi/budget100_seed123
dora,hi,1000,123,0.0001,5,0.333333,0.166667,906243,1.1734,32.91,/kaggle/working/adapters/dora/hi/budget1000_seed123
dora,te,100,42,0.0001,10,0.333333,0.166667,906243,1.172,6.94,/kaggle/working/adapters/dora/te/budget100_seed42
dora,te,100,123,0.0001,10,0.333333,0.166667,906243,1.172,6.9,/kaggle/working/adapters/dora/te/budget100_seed123
dora,te,1000,42,0.0001,5,0.33253,0.167903,906243,1.1734,33.01,/kaggle/working/adapters/dora/te/budget1000_seed42
dora,te,1000,123,0.0001,5,0.333333,0.166667,906243,1.1734,32.75,/kaggle/working/adapters/dora/te/budget1000_seed123
ia3,hi,50,123,0.005,10,0.334137,0.175502,657411,1.2395,2.98,/kaggle/working/adapters/ia3/hi/budget50_seed123
ia3,hi,50,456,0.005,10,0.333333,0.166667,657411,1.2395,3.04,/kaggle/working/adapters/ia3/hi/budget50_seed456
ia3,hi,100,42,0.005,10,0.333333,0.166667,657411,1.2402,6.01,/kaggle/working/adapters/ia3/hi/budget100_seed42
ia3,hi,100,123,0.005,10,0.333333,0.166667,657411,1.2402,6.19,/kaggle/working/adapters/ia3/hi/budget100_seed123
ia3,te,50,42,0.005,10,0.333333,0.166667,657411,1.2409,2.95,/kaggle/working/adapters/ia3/te/budget50_seed42
ia3,te,50,123,0.005,10,0.333333,0.166667,657411,1.2402,2.98,/kaggle/working/adapters/ia3/te/budget50_seed123
ia3,te,50,456,0.005,10,0.333333,0.166667,657411,1.2402,3.02,/kaggle/working/adapters/ia3/te/budget50_seed456
ia3,te,100,42,0.005,10,0.333333,0.166667,657411,1.2409,6.06,/kaggle/working/adapters/ia3/te/budget100_seed42
ia3,te,100,123,0.005,10,0.333333,0.166667,657411,1.2409,5.96,/kaggle/working/adapters/ia3/te/budget100_seed123
