language,budget,lora,dora,ia3,highest_mean_method
hi,50,0.21905733333333333,0.221293,0.19218100000000002,dora
hi,100,0.1991516666666667,0.19933133333333333,0.17550100000000002,dora
hi,500,0.33592266666666665,0.330174,0.3798553333333334,ia3
hi,1000,0.203533,0.20253533333333332,0.39513099999999995,ia3
hi,2000,0.48504433333333336,0.442721,0.49147199999999996,ia3
hi,20000,0.6640526666666666,0.665788,0.6682056666666666,ia3
te,50,0.204097,0.20532266666666665,0.166667,dora
te,100,0.20381000000000002,0.20442000000000002,0.20627666666666666,ia3
te,500,0.28724733333333335,0.2776766666666666,0.3511633333333333,ia3
te,1000,0.203917,0.2051643333333333,0.26779633333333336,ia3
te,2000,0.24043033333333333,0.3154633333333334,0.394947,ia3
te,20000,0.6262126666666666,0.6226663333333333,0.6164633333333334,lora
