method,language,budget,f1_mean,f1_std,acc_mean,acc_std,n,f1_ci95,acc_ci95,ci_method
dora,hi,50,0.221293,0.04452065229755736,0.33360133333333336,0.005851952010511845,3,0.11059543130482204,0.01453705467413349,two-sided t interval; df=2; t*=4.302652729
dora,hi,100,0.19933133333333333,0.056576284928699,0.3357426666666667,0.004173665095971804,3,0.14054328295763233,0.010367958859313667,two-sided t interval; df=2; t*=4.302652729
dora,hi,500,0.330174,0.04719134153634541,0.3736276666666667,0.012984030203805496,3,0.1172297911581056,0.03225411907416034,two-sided t interval; df=2; t*=4.302652729
dora,hi,1000,0.20253533333333332,0.03802087193020872,0.3362783333333333,0.003795782176750015,3,0.09444908177900935,0.009429245649212025,two-sided t interval; df=2; t*=4.302652729
dora,hi,2000,0.442721,0.062278137616662864,0.47764399999999996,0.03115308920476425,3,0.1547074702441812,0.07738856371759698,two-sided t interval; df=2; t*=4.302652729
dora,hi,20000,0.665788,0.0057301979895986455,0.66506,0.005665343149360031,3,0.014234600919278452,0.014073492564880231,two-sided t interval; df=2; t*=4.302652729
ia3,hi,50,0.19218100000000002,0.03680626635506515,0.33253,0.0021254832391717116,3,0.09143183426541855,0.005279993069199994,two-sided t interval; df=2; t*=4.302652729
ia3,hi,100,0.17550100000000002,0.015300936834063457,0.3337346666666667,0.0006957070743734978,3,0.03800963420798599,0.0017282321794816636,two-sided t interval; df=2; t*=4.302652729
ia3,hi,500,0.3798553333333334,0.009494938932575246,0.414056,0.0028109999999999663,3,0.023586735869068117,0.006982911106513769,two-sided t interval; df=2; t*=4.302652729
ia3,hi,1000,0.39513099999999995,0.06344158376806176,0.44337333333333334,0.02475966385743821,3,0.15759763070395852,0.06150641470781035,two-sided t interval; df=2; t*=4.302652729
ia3,hi,2000,0.49147199999999996,0.0702758693507238,0.5165996666666667,0.047344193702431286,3,0.1745749372497637,0.11760949698813611,two-sided t interval; df=2; t*=4.302652729
ia3,hi,20000,0.6682056666666666,0.01204969415932761,0.6662653333333334,0.012293348499629122,3,0.02993309967102948,0.030538370606298684,two-sided t interval; df=2; t*=4.302652729
lora,hi,50,0.21905733333333333,0.04150782298956828,0.3331996666666667,0.005101466978559535,3,0.10311114840308339,0.012672746504481339,two-sided t interval; df=2; t*=4.302652729
lora,hi,100,0.1991516666666667,0.05626509313360578,0.33547499999999997,0.0037100528298125357,3,0.13977023968398866,0.009216282145518001,two-sided t interval; df=2; t*=4.302652729
lora,hi,500,0.33592266666666665,0.05271645473979953,0.37483266666666665,0.01260612995067612,3,0.13095493322610494,0.031315362804245184,two-sided t interval; df=2; t*=4.302652729
lora,hi,1000,0.203533,0.036170502775051384,0.3364123333333333,0.0042938422576211804,3,0.08985250998082406,0.010666495478605995,two-sided t interval; df=2; t*=4.302652729
lora,hi,2000,0.48504433333333336,0.026949152497496708,0.4915663333333333,0.019809175660116016,3,0.06694540600708121,0.04920872028740946,two-sided t interval; df=2; t*=4.302652729
lora,hi,20000,0.6640526666666666,0.012300287002071732,0.6630523333333334,0.012655281598341997,3,0.030555606801876443,0.03143746226578538,two-sided t interval; df=2; t*=4.302652729
dora,te,50,0.20532266666666665,0.02688180020633538,0.33493966666666664,0.008944344041534474,3,0.06677809364066371,0.022218982336574912,two-sided t interval; df=2; t*=4.302652729
dora,te,100,0.20442000000000002,0.06539011413814783,0.33895566666666666,0.009738744340690603,3,0.16243804847793702,0.024192382077590658,two-sided t interval; df=2; t*=4.302652729
dora,te,500,0.2776766666666666,0.055357954444987714,0.35783133333333333,0.011886524569163726,3,0.1375167822581973,0.029527763938763132,two-sided t interval; df=2; t*=4.302652729
dora,te,1000,0.2051643333333333,0.0656118404354986,0.3390896666666667,0.010673811518540752,3,0.1629888471347769,0.02651521771670356,two-sided t interval; df=2; t*=4.302652729
dora,te,2000,0.3154633333333334,0.06339941931384967,0.3712183333333334,0.016739636684627694,3,0.15749288839317316,0.041583562762039644,two-sided t interval; df=2; t*=4.302652729
dora,te,20000,0.6226663333333333,0.008393313310804855,0.6232933333333334,0.007328578056712913,3,0.02085014611827456,0.018205197121015405,two-sided t interval; df=2; t*=4.302652729
ia3,te,50,0.166667,0.0,0.333333,0.0,3,0.0,0.0,two-sided t interval; df=2; t*=4.302652729
ia3,te,100,0.20627666666666666,0.06860595513753405,0.3449796666666667,0.02017261840548553,3,0.17042664037811373,0.050111562117086686,two-sided t interval; df=2; t*=4.302652729
ia3,te,500,0.3511633333333333,0.042808592155469574,0.3966533333333333,0.016146300019921987,3,0.10634243814181794,0.04010963277773678,two-sided t interval; df=2; t*=4.302652729
ia3,te,1000,0.26779633333333336,0.09001848788628551,0.373494,0.03936364328920786,3,0.22361832047411093,0.09778471074957633,two-sided t interval; df=2; t*=4.302652729
ia3,te,2000,0.394947,0.061736585846643675,0.4467206666666667,0.020281473919154254,3,0.1533621810696457,0.05038197420367601,two-sided t interval; df=2; t*=4.302652729
ia3,te,20000,0.6164633333333334,0.010711690451713631,0.6165996666666667,0.008654132500333764,3,0.02660931420306279,0.021498056902818617,two-sided t interval; df=2; t*=4.302652729
lora,te,50,0.204097,0.025454200753510223,0.33400266666666667,0.011261498316535563,3,0.06323174000324433,0.027975112654045977,two-sided t interval; df=2; t*=4.302652729
lora,te,100,0.20381000000000002,0.0643335631455308,0.33815233333333333,0.008347330191943624,3,0.159813430313247,0.02073591771862737,two-sided t interval; df=2; t*=4.302652729
lora,te,500,0.28724733333333335,0.06413706180776707,0.35850066666666663,0.011247424697828974,3,0.15932529392978376,0.02794015184708223,two-sided t interval; df=2; t*=4.302652729
lora,te,1000,0.203917,0.06273733130282161,0.33775099999999997,0.008357268872065803,3,0.15584817059676703,0.020760606768719596,two-sided t interval; df=2; t*=4.302652729
lora,te,2000,0.24043033333333333,0.08703813548860828,0.35676033333333335,0.031557308905122636,3,0.21621471469002498,0.07839270111891475,two-sided t interval; df=2; t*=4.302652729
lora,te,20000,0.6262126666666666,0.011921696243963492,0.6263723333333333,0.013102196813257453,3,0.029615135222503433,0.03254766120491849,two-sided t interval; df=2; t*=4.302652729
