method,language,budget,seed,accuracy,macro_f1,trainable_params,training_time_sec,peak_gpu_memory_gb,epochs
hybrid_ia3_lora,hi,50,42,0.333333,0.166667,943107,8.59,1.205,10
hybrid_ia3_lora,hi,50,123,0.333333,0.166667,943107,7.89,1.2052,10
hybrid_ia3_lora,hi,50,456,0.333333,0.166667,943107,8.5,1.2052,10
hybrid_ia3_lora,hi,100,42,0.360643,0.284766,943107,17.99,1.2052,10
hybrid_ia3_lora,hi,100,123,0.340161,0.271234,943107,17.03,1.2052,10
hybrid_ia3_lora,hi,100,456,0.353815,0.290343,943107,17.49,1.2052,10
hybrid_ia3_lora,hi,500,42,0.422892,0.410622,943107,87.06,1.2052,10
hybrid_ia3_lora,hi,500,123,0.482731,0.476949,943107,87.22,1.2052,10
hybrid_ia3_lora,hi,500,456,0.428112,0.417562,943107,87.24,1.2052,10
hybrid_ia3_lora,hi,1000,42,0.334137,0.171375,943107,87.08,1.2052,5
hybrid_ia3_lora,hi,1000,123,0.477912,0.474788,943107,87.08,1.2052,5
hybrid_ia3_lora,hi,1000,456,0.466265,0.379048,943107,87.3,1.2052,5
hybrid_ia3_lora,hi,2000,42,0.539759,0.525333,943107,174.26,1.2052,5
hybrid_ia3_lora,hi,2000,123,0.57751,0.576107,943107,174.12,1.2052,5
hybrid_ia3_lora,hi,2000,456,0.53494,0.515662,943107,174.1,1.2052,5
hybrid_ia3_lora,hi,20000,42,0.670281,0.671502,943107,1045.62,1.2052,3
hybrid_ia3_lora,hi,20000,123,0.688353,0.689927,943107,1044.7,1.2052,3
hybrid_ia3_lora,hi,20000,456,0.686747,0.686846,943107,1043.83,1.2052,3
hybrid_ia3_lora,te,50,42,0.333333,0.166667,943107,8.62,1.2052,10
hybrid_ia3_lora,te,50,123,0.333333,0.166667,943107,8.76,1.2052,10
hybrid_ia3_lora,te,50,456,0.333333,0.166667,943107,8.71,1.2052,10
hybrid_ia3_lora,te,100,42,0.346988,0.274685,943107,17.36,1.2052,10
hybrid_ia3_lora,te,100,123,0.336145,0.270941,943107,17.3,1.2052,10
hybrid_ia3_lora,te,100,456,0.35261,0.278187,943107,17.34,1.2052,10
hybrid_ia3_lora,te,500,42,0.410843,0.394307,943107,86.95,1.2052,10
hybrid_ia3_lora,te,500,123,0.414859,0.414613,943107,87.16,1.2052,10
hybrid_ia3_lora,te,500,456,0.426908,0.4171,943107,87.17,1.2052,10
hybrid_ia3_lora,te,1000,42,0.334538,0.170016,943107,87.02,1.2052,5
hybrid_ia3_lora,te,1000,123,0.385944,0.305804,943107,87.04,1.2052,5
hybrid_ia3_lora,te,1000,456,0.371486,0.294696,943107,87.1,1.2052,5
hybrid_ia3_lora,te,2000,42,0.423293,0.412679,943107,174.28,1.2052,5
hybrid_ia3_lora,te,2000,123,0.518474,0.519659,943107,173.94,1.2052,5
hybrid_ia3_lora,te,2000,456,0.493574,0.453725,943107,174.01,1.2052,5
hybrid_ia3_lora,te,20000,42,0.635743,0.637113,943107,1043.63,1.2052,3
hybrid_ia3_lora,te,20000,123,0.64739,0.647494,943107,1044.17,1.2052,3
hybrid_ia3_lora,te,20000,456,0.658635,0.658505,943107,1044.42,1.2052,3
