method,language,budget,seed,test_accuracy,test_macro_f1
lora,hi,50,456,0.334132,0.170466
lora,hi,100,42,0.333333,0.166667
lora,hi,100,123,0.333333,0.166667
lora,hi,1000,42,0.339122,0.194354
lora,hi,1000,123,0.333333,0.167388
lora,te,50,456,0.33493,0.173437
lora,te,100,42,0.333333,0.166667
lora,te,100,123,0.333333,0.166667
lora,te,1000,42,0.334132,0.172125
lora,te,1000,123,0.333333,0.166667
lora,te,2000,123,0.337924,0.182726
dora,hi,50,456,0.334132,0.170466
dora,hi,100,42,0.333333,0.166667
dora,hi,100,123,0.333333,0.166667
dora,hi,1000,42,0.336128,0.188633
dora,hi,1000,123,0.333333,0.167363
dora,te,50,456,0.33493,0.173437
dora,te,100,42,0.333333,0.166667
dora,te,100,123,0.333333,0.166667
dora,te,1000,42,0.334331,0.172072
dora,te,1000,123,0.333333,0.166667
ia3,hi,50,123,0.334132,0.172306
ia3,hi,50,456,0.333333,0.166667
ia3,hi,100,42,0.333333,0.166717
ia3,hi,100,123,0.333333,0.166667
ia3,hi,100,456,0.335928,0.196432
ia3,te,50,42,0.333333,0.166667
ia3,te,50,123,0.333333,0.166667
ia3,te,50,456,0.333333,0.166667
ia3,te,100,42,0.333333,0.166667
ia3,te,100,123,0.333333,0.166667
ia3,te,1000,456,0.334331,0.176151
hybrid_ia3_lora,hi,50,42,0.333333,0.166667
hybrid_ia3_lora,hi,50,123,0.333333,0.166667
hybrid_ia3_lora,hi,50,456,0.333333,0.166667
hybrid_ia3_lora,hi,1000,42,0.33493,0.173906
hybrid_ia3_lora,te,50,42,0.333333,0.166667
hybrid_ia3_lora,te,50,123,0.333333,0.166667
hybrid_ia3_lora,te,50,456,0.333333,0.166667
hybrid_ia3_lora,te,1000,42,0.334731,0.171108
