language,budget,lora,dora,ia3,hybrid_ia3_lora,best_primary,best_primary_method,hybrid_delta,hybrid_wins
hi,50,0.21927700000000003,0.22108800000000003,0.19224300000000002,0.166667,0.22108800000000003,dora,-0.0544,False
hi,100,0.19866833333333334,0.19860133333333332,0.17660533333333336,0.275796,0.19866833333333334,lora,0.0771,True
hi,500,0.3390206666666667,0.329686,0.37564766666666666,0.436077,0.37564766666666666,ia3,0.0604,True
hi,1000,0.19936733333333334,0.19824333333333333,0.4011733333333333,0.34915233333333334,0.4011733333333333,ia3,-0.052,False
hi,2000,0.48844233333333337,0.45058166666666666,0.4900603333333333,0.5424736666666666,0.4900603333333333,ia3,0.0524,True
hi,20000,0.6669946666666666,0.6661593333333333,0.6699713333333334,0.6913026666666667,0.6699713333333334,ia3,0.0213,True
te,50,0.20262333333333335,0.20228766666666664,0.166667,0.166667,0.20262333333333335,lora,-0.036,False
te,100,0.20325033333333334,0.203099,0.20317233333333337,0.27541733333333335,0.20325033333333334,lora,0.0722,True
te,500,0.2897383333333334,0.276529,0.3538833333333333,0.4060426666666667,0.3538833333333333,ia3,0.0522,True
te,1000,0.20494733333333334,0.205383,0.26348900000000003,0.2577156666666667,0.26348900000000003,ia3,-0.0058,False
te,2000,0.24264933333333336,0.31787533333333334,0.401012,0.475242,0.401012,ia3,0.0742,True
te,20000,0.6279756666666666,0.6276183333333333,0.626177,0.65394,0.6279756666666666,lora,0.026,True
