method,language,budget,seed,lr,epochs,warmup_steps,total_steps,accuracy,macro_f1,trainable_params,peak_gpu_memory_gb,training_time_sec
lora,hi,50,123,0.0001,10,2,20,0.333333,0.166667,887811,1.1556,2.09
lora,te,50,123,0.0001,10,2,20,0.333333,0.166667,887811,1.1556,2.29
dora,hi,50,123,0.0001,10,2,20,0.333333,0.166667,906243,1.1721,3.16
dora,te,50,123,0.0001,10,2,20,0.333333,0.166667,906243,1.1705,3.16
ia3,hi,50,42,0.005,10,2,20,0.333333,0.166667,657411,1.2395,2.81
ia3,hi,50,123,0.005,10,2,20,0.333333,0.166667,657411,1.2395,2.82
ia3,hi,100,42,0.005,10,4,40,0.333333,0.257885,657411,1.2402,5.74
ia3,hi,100,456,0.005,10,4,40,0.333333,0.166667,657411,1.2402,5.64
ia3,te,50,42,0.005,10,2,20,0.333333,0.168113,657411,1.2409,2.81
ia3,te,50,456,0.005,10,2,20,0.333333,0.166667,657411,1.2402,2.85
ia3,te,100,42,0.005,10,4,40,0.333333,0.166667,657411,1.2409,5.71
ia3,te,100,123,0.005,10,4,40,0.333333,0.166667,657411,1.2409,5.74
ia3,te,1000,456,0.005,5,16,160,0.333333,0.166667,657411,1.2402,27.47
