method,language,budget,seed,lr,epochs,warmup_steps,total_steps,accuracy,macro_f1,trainable_params,peak_gpu_memory_gb,training_time_sec
lora,hi,50,42,0.0001,10,2,20,0.335341,0.177085,887811,1.1563,2.1
lora,hi,50,123,0.0001,10,2,20,0.333333,0.166667,887811,1.1556,2.09
lora,hi,50,456,0.0001,10,2,20,0.334538,0.172007,887811,1.1563,2.11
lora,hi,100,42,0.0001,10,4,40,0.335341,0.206529,887811,1.1578,4.31
lora,hi,100,123,0.0001,10,4,40,0.33494,0.170961,887811,1.1571,4.37
lora,hi,100,456,0.0001,10,4,40,0.330522,0.263645,887811,1.1578,4.41
lora,hi,500,42,0.0001,10,16,160,0.35743,0.290658,887811,1.1563,21.27
lora,hi,500,123,0.0001,10,16,160,0.33494,0.175232,887811,1.1571,22.55
lora,hi,500,456,0.0001,10,16,160,0.350602,0.251588,887811,1.1563,22.21
lora,hi,1000,42,0.0001,5,16,160,0.356225,0.270599,887811,1.1578,21.96
lora,hi,1000,123,0.0001,5,16,160,0.338153,0.185712,887811,1.1571,22.32
lora,hi,1000,456,0.0001,5,16,160,0.332129,0.169074,887811,1.1578,22.1
lora,hi,2000,42,0.0001,5,31,315,0.366265,0.310697,887811,1.1563,44.5
lora,hi,2000,123,0.0001,5,31,315,0.392369,0.365751,887811,1.1563,44.34
lora,hi,2000,456,0.0001,5,31,315,0.36747,0.285837,887811,1.1563,44.29
lora,hi,20000,42,0.0001,3,187,1875,0.630522,0.63204,887811,1.1563,265.72
lora,hi,20000,123,0.0001,3,187,1875,0.629317,0.63059,887811,1.1571,265.95
lora,hi,20000,456,0.0001,3,187,1875,0.636948,0.637383,887811,1.1563,265.9
lora,te,50,42,0.0001,10,2,20,0.336948,0.177909,887811,1.1571,2.24
lora,te,50,123,0.0001,10,2,20,0.333333,0.166667,887811,1.1556,2.29
lora,te,50,456,0.0001,10,2,20,0.340161,0.252791,887811,1.1563,2.3
lora,te,100,42,0.0001,10,4,40,0.339357,0.203223,887811,1.1578,4.71
lora,te,100,123,0.0001,10,4,40,0.335743,0.179526,887811,1.1571,4.7
lora,te,100,456,0.0001,10,4,40,0.34257,0.262324,887811,1.1578,4.65
lora,te,500,42,0.0001,10,16,160,0.359036,0.297701,887811,1.1563,22.21
lora,te,500,123,0.0001,10,16,160,0.334137,0.176464,887811,1.1571,22.15
lora,te,500,456,0.0001,10,16,160,0.348594,0.239812,887811,1.1563,22.22
lora,te,1000,42,0.0001,5,16,160,0.35261,0.248001,887811,1.1571,22.15
lora,te,1000,123,0.0001,5,16,160,0.334137,0.168466,887811,1.1571,22.19
lora,te,1000,456,0.0001,5,16,160,0.355823,0.265928,887811,1.1578,22.19
lora,te,2000,42,0.0001,5,31,315,0.346185,0.246739,887811,1.1563,44.43
lora,te,2000,123,0.0001,5,31,315,0.375502,0.329615,887811,1.1563,44.32
lora,te,2000,456,0.0001,5,31,315,0.356627,0.281165,887811,1.1563,44.28
lora,te,20000,42,0.0001,3,187,1875,0.586345,0.587396,887811,1.1563,265.65
lora,te,20000,123,0.0001,3,187,1875,0.586747,0.587218,887811,1.1571,265.48
lora,te,20000,456,0.0001,3,187,1875,0.585542,0.585171,887811,1.1563,265.63
dora,hi,50,42,0.0001,10,2,20,0.335341,0.177129,906243,1.1721,3.17
dora,hi,50,123,0.0001,10,2,20,0.333333,0.166667,906243,1.1721,3.16
dora,hi,50,456,0.0001,10,2,20,0.334538,0.172007,906243,1.1721,3.21
dora,hi,100,42,0.0001,10,4,40,0.336145,0.20577,906243,1.172,6.57
dora,hi,100,123,0.0001,10,4,40,0.33494,0.170961,906243,1.172,6.55
dora,hi,100,456,0.0001,10,4,40,0.335341,0.26825,906243,1.172,6.5
dora,hi,500,42,0.0001,10,16,160,0.354618,0.295044,906243,1.1723,31.15
dora,hi,500,123,0.0001,10,16,160,0.334137,0.177868,906243,1.1723,30.72
dora,hi,500,456,0.0001,10,16,160,0.348594,0.250366,906243,1.1723,30.94
dora,hi,1000,42,0.0001,5,16,160,0.354618,0.271599,906243,1.1734,30.78
dora,hi,1000,123,0.0001,5,16,160,0.336546,0.183156,906243,1.1734,31.02
dora,hi,1000,456,0.0001,5,16,160,0.331727,0.169012,906243,1.1734,30.8
dora,hi,2000,42,0.0001,5,31,315,0.366265,0.315716,906243,1.1727,61.7
dora,hi,2000,123,0.0001,5,31,315,0.395984,0.366514,906243,1.1727,61.78
dora,hi,2000,456,0.0001,5,31,315,0.368675,0.286743,906243,1.1727,61.68
dora,hi,20000,42,0.0001,3,187,1875,0.626506,0.627879,906243,1.1727,368.26
dora,hi,20000,123,0.0001,3,187,1875,0.629317,0.630873,906243,1.1705,369.17
dora,hi,20000,456,0.0001,3,187,1875,0.629317,0.630067,906243,1.1698,369.22
dora,te,50,42,0.0001,10,2,20,0.336546,0.177841,906243,1.1699,3.15
dora,te,50,123,0.0001,10,2,20,0.333333,0.166667,906243,1.1705,3.16
dora,te,50,456,0.0001,10,2,20,0.339357,0.253209,906243,1.1721,3.21
dora,te,100,42,0.0001,10,4,40,0.338956,0.201848,906243,1.172,6.58
dora,te,100,123,0.0001,10,4,40,0.336145,0.179693,906243,1.172,6.6
dora,te,100,456,0.0001,10,4,40,0.339357,0.26085,906243,1.172,6.5
dora,te,500,42,0.0001,10,16,160,0.362651,0.296352,906243,1.1723,31.14
dora,te,500,123,0.0001,10,16,160,0.33253,0.173001,906243,1.1723,30.71
dora,te,500,456,0.0001,10,16,160,0.348594,0.245947,906243,1.1723,31.0
dora,te,1000,42,0.0001,5,16,160,0.351406,0.247403,906243,1.1734,30.82
dora,te,1000,123,0.0001,5,16,160,0.333735,0.167519,906243,1.1734,30.97
dora,te,1000,456,0.0001,5,16,160,0.367871,0.321105,906243,1.1734,30.88
dora,te,2000,42,0.0001,5,31,315,0.344177,0.24214,906243,1.1727,61.69
dora,te,2000,123,0.0001,5,31,315,0.373896,0.339415,906243,1.1727,61.79
dora,te,2000,456,0.0001,5,31,315,0.352209,0.27128,906243,1.1727,61.73
dora,te,20000,42,0.0001,3,187,1875,0.589558,0.590596,906243,1.1727,369.24
dora,te,20000,123,0.0001,3,187,1875,0.600803,0.600808,906243,1.1705,369.1
dora,te,20000,456,0.0001,3,187,1875,0.581124,0.580938,906243,1.1698,369.2
ia3,hi,50,42,0.005,10,2,20,0.333333,0.166667,657411,1.2395,2.81
ia3,hi,50,123,0.005,10,2,20,0.333333,0.166667,657411,1.2395,2.82
ia3,hi,50,456,0.005,10,2,20,0.336546,0.202593,657411,1.2395,2.86
ia3,hi,100,42,0.005,10,4,40,0.333333,0.257885,657411,1.2402,5.74
ia3,hi,100,123,0.005,10,4,40,0.33494,0.174473,657411,1.2402,5.72
ia3,hi,100,456,0.005,10,4,40,0.333333,0.166667,657411,1.2402,5.64
ia3,hi,500,42,0.005,10,16,160,0.421687,0.406944,657411,1.2395,27.86
ia3,hi,500,123,0.005,10,16,160,0.416064,0.398677,657411,1.2395,27.45
ia3,hi,500,456,0.005,10,16,160,0.410843,0.396467,657411,1.2395,27.81
ia3,hi,1000,42,0.005,5,16,160,0.450602,0.445115,657411,1.2402,27.41
ia3,hi,1000,123,0.005,5,16,160,0.436948,0.428281,657411,1.2402,27.82
ia3,hi,1000,456,0.005,5,16,160,0.386345,0.295991,657411,1.2402,27.48
ia3,hi,2000,42,0.005,5,31,315,0.549398,0.55114,657411,1.2395,55.29
ia3,hi,2000,123,0.005,5,31,315,0.549398,0.551479,657411,1.2409,55.3
ia3,hi,2000,456,0.005,5,31,315,0.537349,0.54001,657411,1.2417,55.16
ia3,hi,20000,42,0.005,3,187,1875,0.663855,0.6657,657411,1.2402,329.89
ia3,hi,20000,123,0.005,3,187,1875,0.674699,0.676383,657411,1.2409,329.48
ia3,hi,20000,456,0.005,3,187,1875,0.683534,0.68534,657411,1.2402,330.43
ia3,te,50,42,0.005,10,2,20,0.333333,0.168113,657411,1.2409,2.81
ia3,te,50,123,0.005,10,2,20,0.338153,0.207426,657411,1.2402,2.81
ia3,te,50,456,0.005,10,2,20,0.333333,0.166667,657411,1.2402,2.85
ia3,te,100,42,0.005,10,4,40,0.333333,0.166667,657411,1.2409,5.71
ia3,te,100,123,0.005,10,4,40,0.333333,0.166667,657411,1.2409,5.74
ia3,te,100,456,0.005,10,4,40,0.332932,0.166516,657411,1.2402,5.65
ia3,te,500,42,0.005,10,16,160,0.391165,0.366445,657411,1.2395,27.8
ia3,te,500,123,0.005,10,16,160,0.398394,0.390962,657411,1.2395,27.52
ia3,te,500,456,0.005,10,16,160,0.408835,0.388685,657411,1.2395,27.78
ia3,te,1000,42,0.005,5,16,160,0.400402,0.370785,657411,1.2402,27.56
ia3,te,1000,123,0.005,5,16,160,0.379518,0.332386,657411,1.2402,27.77
ia3,te,1000,456,0.005,5,16,160,0.333333,0.166667,657411,1.2402,27.47
ia3,te,2000,42,0.005,5,31,315,0.476707,0.475141,657411,1.2395,55.41
ia3,te,2000,123,0.005,5,31,315,0.460241,0.399258,657411,1.2409,55.32
ia3,te,2000,456,0.005,5,31,315,0.395984,0.322788,657411,1.2417,55.16
ia3,te,20000,42,0.005,3,187,1875,0.62249,0.624109,657411,1.2402,330.32
ia3,te,20000,123,0.005,3,187,1875,0.640562,0.642092,657411,1.2409,330.23
ia3,te,20000,456,0.005,3,187,1875,0.628514,0.63053,657411,1.2402,330.28
