language,budget,dora,ia3,lora,best_method
hi,50,0.17193433333333333,0.17864233333333335,0.17191966666666667,ia3
hi,100,0.21499366666666667,0.19967499999999996,0.21371166666666666,dora
hi,500,0.24109266666666665,0.400696,0.23915933333333336,ia3
hi,1000,0.20792233333333332,0.38979566666666665,0.20846166666666666,ia3
hi,2000,0.32299100000000003,0.547543,0.32076166666666667,ia3
hi,20000,0.6296063333333334,0.6758076666666666,0.6333376666666667,ia3
te,50,0.19923900000000003,0.18073533333333333,0.19912233333333332,dora
te,100,0.21413033333333334,0.16661666666666666,0.21502433333333335,lora
te,500,0.23843333333333336,0.38203066666666663,0.23799233333333333,ia3
te,1000,0.24534233333333333,0.289946,0.227465,ia3
te,2000,0.28427833333333336,0.39906233333333335,0.28583966666666666,ia3
te,20000,0.5907806666666667,0.6322436666666666,0.586595,ia3
