method,language,budget,f1_mean,f1_std,acc_mean,acc_std,n,f1_ci95,acc_ci95
dora,hi,50,0.17193433333333333,0.0052313785308781904,0.334404,0.0010106844215678863,3,0.005919862093949291,0.0011436970888016415
dora,hi,100,0.21499366666666667,0.049295987669721486,0.33547533333333335,0.0006136288237471763,3,0.05578366143212106,0.0006943863824829735
dora,hi,500,0.24109266666666665,0.05913585864205687,0.345783,0.010525879108179028,3,0.06691852365527234,0.011911153507666654
dora,hi,1000,0.20792233333333332,0.05559722648058384,0.34096366666666666,0.012067986755599842,3,0.06291418440253288,0.013656212587767919
dora,hi,2000,0.32299100000000003,0.040380036267938145,0.3769746666666667,0.016506607474988118,3,0.04569431262599464,0.01867898476742008
dora,hi,20000,0.6296063333333334,0.0015492479896174005,0.62838,0.0016229316066920906,3,0.0017531391379403019,0.0018365200000000598
ia3,hi,50,0.17864233333333335,0.020741885770906483,0.334404,0.001855026414906288,3,0.02347165333333332,0.002099160000000023
ia3,hi,100,0.19967499999999996,0.05056220410543827,0.33386866666666665,0.000927801882587739,3,0.05721652021614735,0.0010499066666666784
ia3,hi,500,0.400696,0.0055226038242843015,0.416198,0.005423241742721737,3,0.006249414536973269,0.006136975756879988
ia3,hi,1000,0.38979566666666665,0.08167210359316905,0.4246316666666667,0.033852762994079744,3,0.09242068554980634,0.0383080075817913
ia3,hi,2000,0.547543,0.006525970962240037,0.5453816666666667,0.006956493393465836,3,0.007384831339875014,0.007872013333333372
ia3,hi,20000,0.6758076666666666,0.009832632217943144,0.6740293333333334,0.00985657650167304,3,0.011126670801429239,0.011153766309196976
lora,hi,50,0.17191966666666667,0.005209549052781175,0.334404,0.0010106844215678863,3,0.0058951597140403525,0.0011436970888016415
lora,hi,100,0.21371166666666666,0.046757608892386004,0.333601,0.002674019633435782,3,0.0529112154381373,0.0030259380721576867
lora,hi,500,0.23915933333333336,0.058708127080782734,0.3476573333333333,0.011530538640208157,3,0.066434499828469,0.0130480327921381
lora,hi,1000,0.20846166666666666,0.05445173924066459,0.342169,0.012539955980783975,3,0.061617943564544385,0.014190296043818105
lora,hi,2000,0.32076166666666667,0.04089663782431672,0.375368,0.014735620346629464,3,0.04627890231936699,0.01667492417265319
lora,hi,20000,0.6333376666666667,0.0035775922536439753,0.6322623333333334,0.004102390806996989,3,0.004048426747356455,0.004642292216011886
dora,te,50,0.19923900000000003,0.047072128101457236,0.336412,0.0030142347287495925,3,0.05326712742818157,0.00341092769480682
dora,te,100,0.21413033333333334,0.041949451085006285,0.3381526666666667,0.00175021265374619,3,0.04747027267751942,0.001980552063687726
dora,te,500,0.23843333333333336,0.062017809460939,0.34792500000000004,0.01507163995721768,3,0.07017975801417514,0.017055166157400346
dora,te,1000,0.24534233333333333,0.07681373320789278,0.35100400000000004,0.017071550222519345,3,0.08692292190827251,0.019318277668253288
dora,te,2000,0.28427833333333336,0.049923180070317374,0.35676066666666667,0.015373450892149546,3,0.0564933964467038,0.017396697381473824
dora,te,20000,0.5907806666666667,0.009936287099985265,0.590495,0.00987290418266074,3,0.011243967342566923,0.011172242819583419
ia3,te,50,0.18073533333333333,0.023126099851322378,0.33493966666666664,0.002782828297493991,3,0.026169645549955593,0.003149066666666661
ia3,te,100,0.16661666666666666,8.717989064763655e-05,0.33319933333333335,0.0002315174579450391,3,9.86533333333368e-05,0.00026198666666666574
ia3,te,500,0.38203066666666663,0.013545513513091094,0.39946466666666663,0.008883522405742743,3,0.01532819151126592,0.010052651942522983
ia3,te,1000,0.289946,0.1084753643967145,0.37108433333333335,0.03432066054628511,3,0.1227514304363763,0.038837483506120415
ia3,te,2000,0.39906233333333335,0.07617668847051128,0.4443106666666667,0.04265421810716185,3,0.08620203792507095,0.0482677916402361
ia3,te,20000,0.6322436666666666,0.009113153259620551,0.630522,0.00920181199547129,3,0.010312503715712153,0.010412830519930647
lora,te,50,0.19912233333333332,0.04681709065430415,0.336814,0.0034159717504686723,3,0.05297852538819772,0.0038655359309674006
lora,te,100,0.21502433333333335,0.042641890229366396,0.3392233333333334,0.0034154622429962956,3,0.048253841333251155,0.003864959368985792
lora,te,500,0.23799233333333333,0.06063898030420146,0.3472556666666667,0.01250333564827136,3,0.06861946593994965,0.014148856236503518
lora,te,1000,0.227465,0.05187490561919125,0.34752333333333335,0.011703686698358466,3,0.05870198181791594,0.013243968264984274
lora,te,2000,0.28583966666666666,0.041635288222051876,0.359438,0.014859270271450075,3,0.04711476393106704,0.016814847234718884
lora,te,20000,0.586595,0.0012364275150610325,0.5862113333333333,0.0006135196275045492,3,0.0013991494469617364,0.000694262815302026
